symbol,Date,value
HLMN,2022-10-20,47
HLMN,2022-10-21,60
HLMN,2022-10-22,31
HLMN,2022-10-23,14
HLMN,2022-10-24,79
HLMN,2022-10-25,54
HLMN,2022-10-26,60
HLMN,2022-10-27,81
HLMN,2022-10-28,38
HLMN,2022-10-29,0
HLMN,2022-10-30,58
HLMN,2022-10-31,44
TEAF,2022-12-01,73
TEAF,2022-12-02,48
TEAF,2022-12-03,0
TEAF,2022-12-04,0
TEAF,2022-12-05,0
TEAF,2022-12-06,38
TEAF,2022-12-07,0
TEAF,2022-12-08,34
TEAF,2022-12-09,0
TEAF,2022-12-10,0
TEAF,2022-12-11,100
TEAF,2022-12-12,0
TEAF,2022-12-13,49
TEAF,2022-12-14,23
TEAF,2022-12-15,0
TEAF,2022-12-16,84
TEAF,2022-12-17,0
TEAF,2022-12-18,0
TEAF,2022-12-19,0
TEAF,2022-12-20,40
TEAF,2022-12-21,0
TEAF,2022-12-22,73
TEAF,2022-12-23,0
TEAF,2022-12-24,81
TEAF,2022-12-25,0
TEAF,2022-12-26,0
TEAF,2022-12-27,0
TEAF,2022-12-28,0
TEAF,2022-12-29,0
TEAF,2022-12-30,43
TEAF,2022-12-31,0
HWCPZ,2022-04-01,0
HWCPZ,2022-04-02,0
HWCPZ,2022-04-03,0
HWCPZ,2022-04-04,0
HWCPZ,2022-04-05,0
HWCPZ,2022-04-06,0
HWCPZ,2022-04-07,0
HWCPZ,2022-04-08,0
HWCPZ,2022-04-09,0
HWCPZ,2022-04-10,0
HWCPZ,2022-04-11,0
HWCPZ,2022-04-12,0
HWCPZ,2022-04-13,0
HWCPZ,2022-04-14,0
HWCPZ,2022-04-15,0
HWCPZ,2022-04-16,0
HWCPZ,2022-04-17,0
HWCPZ,2022-04-18,0
HWCPZ,2022-04-19,0
HWCPZ,2022-04-20,0
HWCPZ,2022-04-21,0
HWCPZ,2022-04-22,0
HWCPZ,2022-04-23,0
HWCPZ,2022-04-24,0
HWCPZ,2022-04-25,0
HWCPZ,2022-04-26,0
HWCPZ,2022-04-27,0
HWCPZ,2022-04-28,0
HWCPZ,2022-04-29,0
HWCPZ,2022-04-30,0
HBAN,2022-08-01,73
HBAN,2022-08-02,34
HBAN,2022-08-03,49
HBAN,2022-08-04,71
HBAN,2022-08-05,81
HBAN,2022-08-06,32
HBAN,2022-08-07,66
HBAN,2022-08-08,48
HBAN,2022-08-09,0
HBAN,2022-08-10,62
HBAN,2022-08-11,0
HBAN,2022-08-12,45
HBAN,2022-08-13,0
HBAN,2022-08-14,41
HBAN,2022-08-15,65
HBAN,2022-08-16,0
HBAN,2022-08-17,38
HBAN,2022-08-18,0
HBAN,2022-08-19,34
HBAN,2022-08-20,0
HBAN,2022-08-21,0
HBAN,2022-08-22,0
HBAN,2022-08-23,55
HBAN,2022-08-24,0
HBAN,2022-08-25,35
HBAN,2022-08-26,100
HBAN,2022-08-27,0
HBAN,2022-08-28,0
HBAN,2022-08-29,81
HBAN,2022-08-30,45
HBAN,2022-08-31,44
FDBC,2022-08-01,0
FDBC,2022-08-02,0
FDBC,2022-08-03,0
FDBC,2022-08-04,0
FDBC,2022-08-05,35
FDBC,2022-08-06,0
FDBC,2022-08-07,0
FDBC,2022-08-08,46
FDBC,2022-08-09,34
FDBC,2022-08-10,0
FDBC,2022-08-11,36
FDBC,2022-08-12,40
FDBC,2022-08-13,0
FDBC,2022-08-14,0
FDBC,2022-08-15,0
FDBC,2022-08-16,26
FDBC,2022-08-17,0
FDBC,2022-08-18,0
FDBC,2022-08-19,63
FDBC,2022-08-20,74
FDBC,2022-08-21,0
FDBC,2022-08-22,0
FDBC,2022-08-23,0
FDBC,2022-08-24,83
FDBC,2022-08-25,100
FDBC,2022-08-26,0
FDBC,2022-08-27,0
FDBC,2022-08-28,0
FDBC,2022-08-29,35
FDBC,2022-08-30,30
FDBC,2022-08-31,28
SGHT,2023-03-01,59
SGHT,2023-03-02,0
SGHT,2023-03-03,0
SGHT,2023-03-04,0
SGHT,2023-03-05,0
SGHT,2023-03-06,100
SGHT,2023-03-07,0
SGHT,2023-03-08,0
SGHT,2023-03-09,0
SGHT,2023-03-10,66
SGHT,2023-03-11,0
SGHT,2023-03-12,0
SGHT,2023-03-13,0
SGHT,2023-03-14,0
SGHT,2023-03-15,26
SGHT,2023-03-16,0
SGHT,2023-03-17,0
SGHT,2023-03-18,0
SGHT,2023-03-19,0
SGHT,2023-03-20,0
SGHT,2023-03-21,56
SGHT,2023-03-22,0
SGHT,2023-03-23,0
SGHT,2023-03-24,0
SGHT,2023-03-25,0
SGHT,2023-03-26,0
SGHT,2023-03-27,0
SGHT,2023-03-28,25
SGHT,2023-03-29,0
SGHT,2023-03-30,0
SGHT,2023-03-31,0
UAL,2022-05-01,48
UAL,2022-05-02,69
UAL,2022-05-03,92
UAL,2022-05-04,94
UAL,2022-05-05,87
UAL,2022-05-06,74
UAL,2022-05-07,51
UAL,2022-05-08,53
UAL,2022-05-09,82
UAL,2022-05-10,82
UAL,2022-05-11,82
UAL,2022-05-12,80
UAL,2022-05-13,69
UAL,2022-05-14,49
UAL,2022-05-15,46
UAL,2022-05-16,79
UAL,2022-05-17,92
UAL,2022-05-18,84
UAL,2022-05-19,76
UAL,2022-05-20,78
UAL,2022-05-21,48
UAL,2022-05-22,51
UAL,2022-05-23,100
UAL,2022-05-24,96
UAL,2022-05-25,83
UAL,2022-05-26,96
UAL,2022-05-27,77
UAL,2022-05-28,57
UAL,2022-05-29,47
UAL,2022-05-30,66
UAL,2022-05-31,79
MSFT,2022-04-01,27
MSFT,2022-04-02,9
MSFT,2022-04-03,5
MSFT,2022-04-04,35
MSFT,2022-04-05,27
MSFT,2022-04-06,29
MSFT,2022-04-07,28
MSFT,2022-04-08,25
MSFT,2022-04-09,8
MSFT,2022-04-10,7
MSFT,2022-04-11,32
MSFT,2022-04-12,29
MSFT,2022-04-13,26
MSFT,2022-04-14,26
MSFT,2022-04-15,15
MSFT,2022-04-16,8
MSFT,2022-04-17,6
MSFT,2022-04-18,30
MSFT,2022-04-19,26
MSFT,2022-04-20,33
MSFT,2022-04-21,31
MSFT,2022-04-22,31
MSFT,2022-04-23,12
MSFT,2022-04-24,8
MSFT,2022-04-25,38
MSFT,2022-04-26,100
MSFT,2022-04-27,84
MSFT,2022-04-28,51
MSFT,2022-04-29,40
MSFT,2022-04-30,17
MRVL,2022-05-01,0
MRVL,2022-05-02,58
MRVL,2022-05-03,26
MRVL,2022-05-04,31
MRVL,2022-05-05,35
MRVL,2022-05-06,44
MRVL,2022-05-07,24
MRVL,2022-05-08,11
MRVL,2022-05-09,33
MRVL,2022-05-10,25
MRVL,2022-05-11,65
MRVL,2022-05-12,51
MRVL,2022-05-13,32
MRVL,2022-05-14,8
MRVL,2022-05-15,6
MRVL,2022-05-16,45
MRVL,2022-05-17,57
MRVL,2022-05-18,31
MRVL,2022-05-19,36
MRVL,2022-05-20,29
MRVL,2022-05-21,8
MRVL,2022-05-22,8
MRVL,2022-05-23,37
MRVL,2022-05-24,26
MRVL,2022-05-25,45
MRVL,2022-05-26,99
MRVL,2022-05-27,100
MRVL,2022-05-28,7
MRVL,2022-05-29,0
MRVL,2022-05-30,28
MRVL,2022-05-31,39
HBAN,2022-10-01,0
HBAN,2022-10-02,55
HBAN,2022-10-03,24
HBAN,2022-10-04,0
HBAN,2022-10-05,39
HBAN,2022-10-06,0
HBAN,2022-10-07,29
HBAN,2022-10-08,0
HBAN,2022-10-09,56
HBAN,2022-10-10,30
HBAN,2022-10-11,27
HBAN,2022-10-12,83
HBAN,2022-10-13,31
HBAN,2022-10-14,44
HBAN,2022-10-15,25
HBAN,2022-10-16,0
HBAN,2022-10-17,49
HBAN,2022-10-18,24
HBAN,2022-10-19,24
HBAN,2022-10-20,77
HBAN,2022-10-21,100
HBAN,2022-10-22,91
HBAN,2022-10-23,27
HBAN,2022-10-24,55
HBAN,2022-10-25,0
HBAN,2022-10-26,0
HBAN,2022-10-27,46
HBAN,2022-10-28,32
HBAN,2022-10-29,0
HBAN,2022-10-30,48
HBAN,2022-10-31,0
IMAQ,2022-11-01,34
IMAQ,2022-11-02,0
IMAQ,2022-11-03,33
IMAQ,2022-11-04,0
IMAQ,2022-11-05,45
IMAQ,2022-11-06,32
IMAQ,2022-11-07,39
IMAQ,2022-11-08,0
IMAQ,2022-11-09,0
IMAQ,2022-11-10,0
IMAQ,2022-11-11,0
IMAQ,2022-11-12,0
IMAQ,2022-11-13,79
IMAQ,2022-11-14,0
IMAQ,2022-11-15,88
IMAQ,2022-11-16,33
IMAQ,2022-11-17,0
IMAQ,2022-11-18,90
IMAQ,2022-11-19,100
IMAQ,2022-11-20,0
IMAQ,2022-11-21,0
IMAQ,2022-11-22,30
IMAQ,2022-11-23,0
IMAQ,2022-11-24,30
IMAQ,2022-11-25,0
IMAQ,2022-11-26,0
IMAQ,2022-11-27,65
IMAQ,2022-11-28,68
IMAQ,2022-11-29,0
IMAQ,2022-11-30,0
STRO,2022-06-01,60
STRO,2022-06-02,58
STRO,2022-06-03,63
STRO,2022-06-04,54
STRO,2022-06-05,71
STRO,2022-06-06,62
STRO,2022-06-07,67
STRO,2022-06-08,77
STRO,2022-06-09,69
STRO,2022-06-10,70
STRO,2022-06-11,59
STRO,2022-06-12,55
STRO,2022-06-13,70
STRO,2022-06-14,51
STRO,2022-06-15,52
STRO,2022-06-16,65
STRO,2022-06-17,60
STRO,2022-06-18,73
STRO,2022-06-19,79
STRO,2022-06-20,65
STRO,2022-06-21,51
STRO,2022-06-22,50
STRO,2022-06-23,30
STRO,2022-06-24,43
STRO,2022-06-25,39
STRO,2022-06-26,58
STRO,2022-06-27,99
STRO,2022-06-28,100
STRO,2022-06-29,67
STRO,2022-06-30,78
LUNR,2022-10-01,79
LUNR,2022-10-02,0
LUNR,2022-10-03,0
LUNR,2022-10-04,0
LUNR,2022-10-05,0
LUNR,2022-10-06,51
LUNR,2022-10-07,30
LUNR,2022-10-08,0
LUNR,2022-10-09,34
LUNR,2022-10-10,64
LUNR,2022-10-11,56
LUNR,2022-10-12,0
LUNR,2022-10-13,0
LUNR,2022-10-14,48
LUNR,2022-10-15,0
LUNR,2022-10-16,0
LUNR,2022-10-17,0
LUNR,2022-10-18,66
LUNR,2022-10-19,59
LUNR,2022-10-20,0
LUNR,2022-10-21,47
LUNR,2022-10-22,57
LUNR,2022-10-23,61
LUNR,2022-10-24,35
LUNR,2022-10-25,56
LUNR,2022-10-26,100
LUNR,2022-10-27,79
LUNR,2022-10-28,34
LUNR,2022-10-29,81
LUNR,2022-10-30,44
LUNR,2022-10-31,60
BBBY,2022-11-01,71
BBBY,2022-11-02,84
BBBY,2022-11-03,65
BBBY,2022-11-04,74
BBBY,2022-11-05,20
BBBY,2022-11-06,10
BBBY,2022-11-07,76
BBBY,2022-11-08,71
BBBY,2022-11-09,73
BBBY,2022-11-10,78
BBBY,2022-11-11,83
BBBY,2022-11-12,28
BBBY,2022-11-13,11
BBBY,2022-11-14,92
BBBY,2022-11-15,88
BBBY,2022-11-16,78
BBBY,2022-11-17,75
BBBY,2022-11-18,73
BBBY,2022-11-19,30
BBBY,2022-11-20,24
BBBY,2022-11-21,100
BBBY,2022-11-22,80
BBBY,2022-11-23,69
BBBY,2022-11-24,36
BBBY,2022-11-25,43
BBBY,2022-11-26,15
BBBY,2022-11-27,10
BBBY,2022-11-28,69
BBBY,2022-11-29,83
BBBY,2022-11-30,68
ASML,2023-02-01,85
ASML,2023-02-02,95
ASML,2023-02-03,82
ASML,2023-02-04,33
ASML,2023-02-05,31
ASML,2023-02-06,76
ASML,2023-02-07,95
ASML,2023-02-08,89
ASML,2023-02-09,75
ASML,2023-02-10,68
ASML,2023-02-11,39
ASML,2023-02-12,43
ASML,2023-02-13,80
ASML,2023-02-14,75
ASML,2023-02-15,98
ASML,2023-02-16,100
ASML,2023-02-17,68
ASML,2023-02-18,37
ASML,2023-02-19,37
ASML,2023-02-20,61
ASML,2023-02-21,75
ASML,2023-02-22,70
ASML,2023-02-23,68
ASML,2023-02-24,65
ASML,2023-02-25,36
ASML,2023-02-26,45
ASML,2023-02-27,64
ASML,2023-02-28,80
MRVL,2022-06-01,54
MRVL,2022-06-02,60
MRVL,2022-06-03,65
MRVL,2022-06-04,19
MRVL,2022-06-05,0
MRVL,2022-06-06,92
MRVL,2022-06-07,95
MRVL,2022-06-08,71
MRVL,2022-06-09,96
MRVL,2022-06-10,54
MRVL,2022-06-11,36
MRVL,2022-06-12,31
MRVL,2022-06-13,69
MRVL,2022-06-14,71
MRVL,2022-06-15,87
MRVL,2022-06-16,79
MRVL,2022-06-17,45
MRVL,2022-06-18,62
MRVL,2022-06-19,0
MRVL,2022-06-20,25
MRVL,2022-06-21,100
MRVL,2022-06-22,45
MRVL,2022-06-23,70
MRVL,2022-06-24,63
MRVL,2022-06-25,39
MRVL,2022-06-26,18
MRVL,2022-06-27,0
MRVL,2022-06-28,56
MRVL,2022-06-29,87
MRVL,2022-06-30,56
AMD,2023-02-01,100
AMD,2023-02-02,91
AMD,2023-02-03,78
AMD,2023-02-04,76
AMD,2023-02-05,75
AMD,2023-02-06,73
AMD,2023-02-07,87
AMD,2023-02-08,77
AMD,2023-02-09,72
AMD,2023-02-10,80
AMD,2023-02-11,76
AMD,2023-02-12,76
AMD,2023-02-13,73
AMD,2023-02-14,74
AMD,2023-02-15,81
AMD,2023-02-16,74
AMD,2023-02-17,77
AMD,2023-02-18,76
AMD,2023-02-19,71
AMD,2023-02-20,76
AMD,2023-02-21,73
AMD,2023-02-22,76
AMD,2023-02-23,78
AMD,2023-02-24,77
AMD,2023-02-25,78
AMD,2023-02-26,78
AMD,2023-02-27,80
AMD,2023-02-28,77
AMC,2022-07-01,89
AMC,2022-07-02,85
AMC,2022-07-03,72
AMC,2022-07-04,62
AMC,2022-07-05,69
AMC,2022-07-06,65
AMC,2022-07-07,85
AMC,2022-07-08,100
AMC,2022-07-09,89
AMC,2022-07-10,77
AMC,2022-07-11,70
AMC,2022-07-12,75
AMC,2022-07-13,61
AMC,2022-07-14,58
AMC,2022-07-15,62
AMC,2022-07-16,70
AMC,2022-07-17,63
AMC,2022-07-18,66
AMC,2022-07-19,71
AMC,2022-07-20,59
AMC,2022-07-21,61
AMC,2022-07-22,74
AMC,2022-07-23,67
AMC,2022-07-24,57
AMC,2022-07-25,59
AMC,2022-07-26,64
AMC,2022-07-27,56
AMC,2022-07-28,49
AMC,2022-07-29,61
AMC,2022-07-30,54
AMC,2022-07-31,50
TSLA,2022-03-01,59
TSLA,2022-03-02,54
TSLA,2022-03-03,50
TSLA,2022-03-04,50
TSLA,2022-03-05,15
TSLA,2022-03-06,8
TSLA,2022-03-07,62
TSLA,2022-03-08,55
TSLA,2022-03-09,49
TSLA,2022-03-10,47
TSLA,2022-03-11,49
TSLA,2022-03-12,14
TSLA,2022-03-13,9
TSLA,2022-03-14,59
TSLA,2022-03-15,48
TSLA,2022-03-16,55
TSLA,2022-03-17,53
TSLA,2022-03-18,52
TSLA,2022-03-19,14
TSLA,2022-03-20,9
TSLA,2022-03-21,52
TSLA,2022-03-22,67
TSLA,2022-03-23,70
TSLA,2022-03-24,62
TSLA,2022-03-25,55
TSLA,2022-03-26,15
TSLA,2022-03-27,10
TSLA,2022-03-28,100
TSLA,2022-03-29,86
TSLA,2022-03-30,71
TSLA,2022-03-31,54
HBAN,2023-04-01,31
HBAN,2023-04-02,0
HBAN,2023-04-03,53
HBAN,2023-04-04,50
HBAN,2023-04-05,25
HBAN,2023-04-06,54
HBAN,2023-04-07,63
HBAN,2023-04-08,0
HBAN,2023-04-09,18
HBAN,2023-04-10,92
HBAN,2023-04-11,65
HBAN,2023-04-12,50
HBAN,2023-04-13,41
HBAN,2023-04-14,58
HBAN,2023-04-15,0
HBAN,2023-04-16,0
HBAN,2023-04-17,68
HBAN,2023-04-18,54
HBAN,2023-04-19,96
HBAN,2023-04-20,93
HBAN,2023-04-21,100
HBAN,2023-04-22,26
HBAN,2023-04-23,0
HBAN,2023-04-24,55
HLMN,2022-04-01,19
HLMN,2022-04-02,17
HLMN,2022-04-03,0
HLMN,2022-04-04,45
HLMN,2022-04-05,57
HLMN,2022-04-06,43
HLMN,2022-04-07,49
HLMN,2022-04-08,53
HLMN,2022-04-09,23
HLMN,2022-04-10,36
HLMN,2022-04-11,33
HLMN,2022-04-12,100
HLMN,2022-04-13,87
HLMN,2022-04-14,23
HLMN,2022-04-15,21
HLMN,2022-04-16,31
HLMN,2022-04-17,0
HLMN,2022-04-18,47
HLMN,2022-04-19,17
HLMN,2022-04-20,79
HLMN,2022-04-21,39
HLMN,2022-04-22,42
HLMN,2022-04-23,0
HLMN,2022-04-24,0
HLMN,2022-04-25,64
HLMN,2022-04-26,0
HLMN,2022-04-27,0
HLMN,2022-04-28,0
HLMN,2022-04-29,16
HLMN,2022-04-30,0
BAC,2023-02-01,99
BAC,2023-02-02,88
BAC,2023-02-03,88
BAC,2023-02-04,82
BAC,2023-02-05,88
BAC,2023-02-06,90
BAC,2023-02-07,88
BAC,2023-02-08,90
BAC,2023-02-09,90
BAC,2023-02-10,89
BAC,2023-02-11,81
BAC,2023-02-12,86
BAC,2023-02-13,89
BAC,2023-02-14,90
BAC,2023-02-15,92
BAC,2023-02-16,87
BAC,2023-02-17,88
BAC,2023-02-18,82
BAC,2023-02-19,85
BAC,2023-02-20,84
BAC,2023-02-21,96
BAC,2023-02-22,93
BAC,2023-02-23,93
BAC,2023-02-24,92
BAC,2023-02-25,87
BAC,2023-02-26,94
BAC,2023-02-27,90
BAC,2023-02-28,100
ERIC,2022-05-01,74
ERIC,2022-05-02,72
ERIC,2022-05-03,71
ERIC,2022-05-04,72
ERIC,2022-05-05,75
ERIC,2022-05-06,66
ERIC,2022-05-07,80
ERIC,2022-05-08,71
ERIC,2022-05-09,75
ERIC,2022-05-10,71
ERIC,2022-05-11,79
ERIC,2022-05-12,66
ERIC,2022-05-13,71
