"keyword","time","value"
"AGNC","2022-12-01",88
"AGNC","2022-12-02",66
"AGNC","2022-12-03",28
"AGNC","2022-12-04",20
"AGNC","2022-12-05",39
"AGNC","2022-12-06",41
"AGNC","2022-12-07",57
"AGNC","2022-12-08",81
"AGNC","2022-12-09",58
"AGNC","2022-12-10",58
"AGNC","2022-12-11",33
"AGNC","2022-12-12",48
"AGNC","2022-12-13",67
"AGNC","2022-12-14",55
"AGNC","2022-12-15",53
"AGNC","2022-12-16",61
"AGNC","2022-12-17",29
"AGNC","2022-12-18",42
"AGNC","2022-12-19",100
"AGNC","2022-12-20",90
"AGNC","2022-12-21",63
"AGNC","2022-12-22",75
"AGNC","2022-12-23",44
"AGNC","2022-12-24",31
"AGNC","2022-12-25",29
"AGNC","2022-12-26",32
"AGNC","2022-12-27",77
"AGNC","2022-12-28",54
"AGNC","2022-12-29",87
"AGNC","2022-12-30",54
"AGNC","2022-12-31",47
