"keyword","time","value"
"CTRA","2022-07-01",76
"CTRA","2022-07-02",22
"CTRA","2022-07-03",0
"CTRA","2022-07-04",97
"CTRA","2022-07-05",54
"CTRA","2022-07-06",46
"CTRA","2022-07-07",57
"CTRA","2022-07-08",67
"CTRA","2022-07-09",0
"CTRA","2022-07-10",22
"CTRA","2022-07-11",81
"CTRA","2022-07-12",60
"CTRA","2022-07-13",39
"CTRA","2022-07-14",61
"CTRA","2022-07-15",62
"CTRA","2022-07-16",0
"CTRA","2022-07-17",38
"CTRA","2022-07-18",75
"CTRA","2022-07-19",66
"CTRA","2022-07-20",53
"CTRA","2022-07-21",55
"CTRA","2022-07-22",66
"CTRA","2022-07-23",62
"CTRA","2022-07-24",24
"CTRA","2022-07-25",92
"CTRA","2022-07-26",64
"CTRA","2022-07-27",60
"CTRA","2022-07-28",100
"CTRA","2022-07-29",55
"CTRA","2022-07-30",15
"CTRA","2022-07-31",23
