"keyword","time","value"
"INTC","2022-06-01",51
"INTC","2022-06-02",70
"INTC","2022-06-03",69
"INTC","2022-06-04",19
"INTC","2022-06-05",8
"INTC","2022-06-06",52
"INTC","2022-06-07",69
"INTC","2022-06-08",100
"INTC","2022-06-09",82
"INTC","2022-06-10",92
"INTC","2022-06-11",25
"INTC","2022-06-12",21
"INTC","2022-06-13",94
"INTC","2022-06-14",85
"INTC","2022-06-15",73
"INTC","2022-06-16",96
"INTC","2022-06-17",69
"INTC","2022-06-18",22
"INTC","2022-06-19",23
"INTC","2022-06-20",40
"INTC","2022-06-21",64
"INTC","2022-06-22",59
"INTC","2022-06-23",74
"INTC","2022-06-24",76
"INTC","2022-06-25",30
"INTC","2022-06-26",16
"INTC","2022-06-27",62
"INTC","2022-06-28",59
"INTC","2022-06-29",75
"INTC","2022-06-30",64
