"keyword","time","value"
"INTC","2022-09-01",84
"INTC","2022-09-02",61
"INTC","2022-09-03",20
"INTC","2022-09-04",5
"INTC","2022-09-05",35
"INTC","2022-09-06",77
"INTC","2022-09-07",75
"INTC","2022-09-08",69
"INTC","2022-09-09",75
"INTC","2022-09-10",21
"INTC","2022-09-11",19
"INTC","2022-09-12",62
"INTC","2022-09-13",100
"INTC","2022-09-14",94
"INTC","2022-09-15",71
"INTC","2022-09-16",93
"INTC","2022-09-17",33
"INTC","2022-09-18",20
"INTC","2022-09-19",63
"INTC","2022-09-20",65
"INTC","2022-09-21",75
"INTC","2022-09-22",75
"INTC","2022-09-23",71
"INTC","2022-09-24",25
"INTC","2022-09-25",19
"INTC","2022-09-26",72
"INTC","2022-09-27",89
"INTC","2022-09-28",78
"INTC","2022-09-29",67
"INTC","2022-09-30",76
