"keyword","time","value"
"CSCO","2022-06-01",77
"CSCO","2022-06-02",84
"CSCO","2022-06-03",60
"CSCO","2022-06-04",13
"CSCO","2022-06-05",22
"CSCO","2022-06-06",63
"CSCO","2022-06-07",80
"CSCO","2022-06-08",73
"CSCO","2022-06-09",63
"CSCO","2022-06-10",56
"CSCO","2022-06-11",24
"CSCO","2022-06-12",30
"CSCO","2022-06-13",79
"CSCO","2022-06-14",87
"CSCO","2022-06-15",100
"CSCO","2022-06-16",66
"CSCO","2022-06-17",57
"CSCO","2022-06-18",16
"CSCO","2022-06-19",22
"CSCO","2022-06-20",41
"CSCO","2022-06-21",65
"CSCO","2022-06-22",55
"CSCO","2022-06-23",74
"CSCO","2022-06-24",93
"CSCO","2022-06-25",22
"CSCO","2022-06-26",22
"CSCO","2022-06-27",61
"CSCO","2022-06-28",67
"CSCO","2022-06-29",56
"CSCO","2022-06-30",58
