"keyword","time","value"
"AMC","2023-01-01",93
"AMC","2023-01-02",94
"AMC","2023-01-03",75
"AMC","2023-01-04",69
"AMC","2023-01-05",69
"AMC","2023-01-06",84
"AMC","2023-01-07",96
"AMC","2023-01-08",80
"AMC","2023-01-09",70
"AMC","2023-01-10",67
"AMC","2023-01-11",76
"AMC","2023-01-12",74
"AMC","2023-01-13",80
"AMC","2023-01-14",100
"AMC","2023-01-15",85
"AMC","2023-01-16",81
"AMC","2023-01-17",75
"AMC","2023-01-18",68
"AMC","2023-01-19",73
"AMC","2023-01-20",83
"AMC","2023-01-21",92
"AMC","2023-01-22",80
"AMC","2023-01-23",65
"AMC","2023-01-24",72
"AMC","2023-01-25",74
"AMC","2023-01-26",65
"AMC","2023-01-27",80
"AMC","2023-01-28",96
"AMC","2023-01-29",76
"AMC","2023-01-30",67
"AMC","2023-01-31",67
