"keyword","time","value"
"VALE","2023-03-01",94
"VALE","2023-03-02",84
"VALE","2023-03-03",86
"VALE","2023-03-04",89
"VALE","2023-03-05",83
"VALE","2023-03-06",87
"VALE","2023-03-07",86
"VALE","2023-03-08",82
"VALE","2023-03-09",85
"VALE","2023-03-10",80
"VALE","2023-03-11",80
"VALE","2023-03-12",83
"VALE","2023-03-13",85
"VALE","2023-03-14",86
"VALE","2023-03-15",83
"VALE","2023-03-16",90
"VALE","2023-03-17",87
"VALE","2023-03-18",83
"VALE","2023-03-19",80
"VALE","2023-03-20",90
"VALE","2023-03-21",86
"VALE","2023-03-22",87
"VALE","2023-03-23",86
"VALE","2023-03-24",87
"VALE","2023-03-25",89
"VALE","2023-03-26",83
"VALE","2023-03-27",92
"VALE","2023-03-28",90
"VALE","2023-03-29",100
"VALE","2023-03-30",88
"VALE","2023-03-31",87
"VALE","2023-04-01",77
"VALE","2023-04-02",79
"VALE","2023-04-03",87
