"keyword","time","value"
"INTC","2023-01-01",4
"INTC","2023-01-02",8
"INTC","2023-01-03",20
"INTC","2023-01-04",22
"INTC","2023-01-05",22
"INTC","2023-01-06",19
"INTC","2023-01-07",8
"INTC","2023-01-08",5
"INTC","2023-01-09",22
"INTC","2023-01-10",17
"INTC","2023-01-11",21
"INTC","2023-01-12",24
"INTC","2023-01-13",23
"INTC","2023-01-14",9
"INTC","2023-01-15",1
"INTC","2023-01-16",8
"INTC","2023-01-17",18
"INTC","2023-01-18",19
"INTC","2023-01-19",18
"INTC","2023-01-20",20
"INTC","2023-01-21",7
"INTC","2023-01-22",6
"INTC","2023-01-23",22
"INTC","2023-01-24",22
"INTC","2023-01-25",21
"INTC","2023-01-26",66
"INTC","2023-01-27",100
"INTC","2023-01-28",22
"INTC","2023-01-29",10
"INTC","2023-01-30",32
"INTC","2023-01-31",32
